<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>You can't see your reflection in a mirror, you just can't see the reflection of the reflection.<|endoftext|> 
<|showerthought|>When you get a tattoo, you are getting a tattoo of yourself<|endoftext|> 
<|showerthought|>Dating apps are a good example of how the world is changing.<|endoftext|> 
<|showerthought|>The biggest part of the universe is the sun, but the biggest part of the earth is the moon.<|endoftext|> 
<|showerthought|>If you eat a piece of bread, you are eating a loaf of bread.<|endoftext|> 
<|showerthought|>If you get an STD, you’re a human carrier. If you get a blood transfusion, you’re a human donor.<|endoftext|> 
<|showerthought|>We always hear about how we need to be more careful with our food, but no one ever talks about how we need to be less careful with how we eat<|endoftext|> 
<|showerthought|>It's not a bad thing if your parents are divorced or if you're a virgin. It's just a shame you're not a virgin.<|endoftext|> 
<|showerthought|>The fact that you can’t see your reflection in mirrors makes it easier to be attracted to people who are not wearing mirrors.<|endoftext|> 
<|showerthought|>The average person is probably more than likely to have a pet that they don’t know they have<|endoftext|> 
<|showerthought|>You could be the first human on earth, and not know it.<|endoftext|> 
<|showerthought|>Most of the people that are going to die in the next century won’t be alive in that century<|endoftext|> 
<|showerthought|>If we had a better understanding of how our brains function we wouldn't have to worry about our eyes being closed.<|endoftext|> 
<|showerthought|>The word ‘cringe’ has become a curse word<|endoftext|> 
<|showerthought|>No one in the world knows the exact moment you were born.<|endoftext|> 
<|showerthought|>It's easier to be a good person than it is to be a bad person.<|endoftext|> 
<|showerthought|>People who use their phone as a flashlight to check if it is charging are the same people who use it as a flashlight for the same reason. It is a flashlight.<|endoftext|> 
<|showerthought|>If you have an itch you have to scratch it.<|endoftext|> 
<|showerthought|>The word “toxic” is toxic to the environment, yet it’s a word we use in the workplace to describe a good employee.<|endoftext|> 
<|showerthought|>If there’s an infinite number, then there’s a finite number of infinite number of infinite number of infinite number of infinite number of infinite number of infinite number of infinite number of infinite number of infinite number of number of infinite number of number of infinite number of number of number of number of number of number of number of number of<|endoftext|> 
<|showerthought|>Your brain automatically translates “I’ll be there” to “I'll be right there” when someone asks you where you are, even though you’re probably nowhere near where you’re going<|endoftext|> 
<|showerthought|>A broken clock is right twice a day, but a clock that is right twice a day is wrong more often than not<|endoftext|> 
<|showerthought|>When you buy a house with a garage it’s technically a garage sale<|endoftext|> 
<|showerthought|>There’s a good chance that someone has been in a car accident and died while they’re driving<|endoftext|> 
<|showerthought|>You can tell how well a person is at something by how they respond to a question about it.<|endoftext|> 
<|showerthought|>The first guy who discovered the power of the internet was the first guy to be a dick.<|endoftext|> 
<|showerthought|>A man who has a penis that is larger than a man’s penis has a penis that is smaller than a man’s penis.<|endoftext|> 
<|showerthought|>When someone says “you’re a piece of shit” they're basically saying that they're a piece of shit themselves<|endoftext|> 
<|showerthought|>Your tongue probably knows more about you than your brain.<|endoftext|> 
<|showerthought|>When you're young, you want to be older than your parents. When you get older, you want them to be older than you.<|endoftext|> 
<|showerthought|>We have never seen a human body with all the blood vessels in it<|endoftext|> 
<|showerthought|>You’ve probably never seen a person with a face that is the same color as your own.<|endoftext|> 
<|showerthought|>Every single song you listen to is technically a remix<|endoftext|> 
<|showerthought|>Dogs probably think we're the smartest species on the planet, because they know we can't understand them<|endoftext|> 
<|showerthought|>The biggest compliment you can get is when someone says they’re not sure if you’re a virgin.<|endoftext|> 
<|showerthought|>You don't know if you have a bad day until you wake up<|endoftext|> 
<|showerthought|>If the internet had a "no spam" rule, we wouldn't be able to post anything.<|endoftext|> 
<|showerthought|>The most important part of a good game is that it is played by people who have never played one before.<|endoftext|> 
<|showerthought|>If you’re in a room with a bunch of other people and someone is talking to you, they are talking to themselves.<|endoftext|> 
<|showerthought|>If you can’t get enough of a song, it’s not a good song. If you can’t get enough of a person, it’s not a good person. But if you can’t get enough of a place, it’s not a good place.<|endoftext|> 
<|showerthought|>You could probably get away with a lot more crimes if the police had a ‘no trespassing’ sign on their cars<|endoftext|> 
<|showerthought|>If someone were to die in their bed, they wouldn't be able to get up and move their legs<|endoftext|> 
<|showerthought|>In the future, people are going to be asking “what's your favorite song” instead of “what's the most favorite song”.<|endoftext|> 
<|showerthought|>When someone has an argument with you and you don't respond, you are the one who is being rude.<|endoftext|> 
<|showerthought|>You don't need to be a professional athlete, but if you are, then you are a professional athlete<|endoftext|> 
<|showerthought|>Some people think that they are the only person that knows what it's like to be in a dream.<|endoftext|> 
<|showerthought|>You can't be a good person if you're a good liar<|endoftext|> 
<|showerthought|>It takes less effort to get a job than it takes to get a job<|endoftext|> 
<|showerthought|>When we look at the sky, we see the stars in the sky, but we don't see the stars in the sky.<|endoftext|> 
<|showerthought|>The word “cringe” is the only word that can be used in a negative way.<|endoftext|> 
<|showerthought|>Saying "I'm a virgin" and "I'm gay" are two very different things<|endoftext|> 
<|showerthought|>A guy who has a penis is a man who has sex with a man<|endoftext|> 
<|showerthought|>When you eat a hot dog, you are actually eating a hot dog.<|endoftext|> 
<|showerthought|>We use our eyes as a flashlight, but we never use our ears.<|endoftext|> 
